sample_id	family_ncbi	phylum_ncbi	comm_id	rela_fam_comm
1011239	Lachnospiraceae	Bacillota	6	0.00802263031655369
1011239	Lactobacillaceae	Bacillota	1	0.005799233878956772
1011239	Methanobacteriaceae	Euryarchaeota	1	0.004023253447921108
1011239	Moraxellaceae	Pseudomonadota	1	5.0585777151430975e-5
1011239	Mycoplasmataceae	Mycoplasmatota	1	7.020452961871974e-4
1011239	Odoribacteraceae	Bacteroidota	6	0.007669672331345824
1011239	Oscillospiraceae	Bacillota	1	0.008040278657976794
1011239	Oscillospiraceae	Bacillota	6	0.037173565822512536
1011239	Peptostreptococcaceae	Bacillota	1	6.156531880946247e-4
1011239	Prevotellaceae	Bacteroidota	1	0.0010546442827173048
1011239	Prevotellaceae	Bacteroidota	6	0.3540710911265319
1011239	Rhodospirillaceae	Pseudomonadota	6	0.005277424192178703
1011239	Rikenellaceae	Bacteroidota	6	0.1090020057882316
1011239	Selenomonadaceae	Bacillota	1	0.026160135399162506
1011239	Spirochaetaceae	Spirochaetota	6	0.0023781640132476364
1011239	Streptococcaceae	Bacillota	1	0.010831701922602563
1011239	Succinivibrionaceae	Pseudomonadota	1	0.0011964361770532145
1011239	Sutterellaceae	Pseudomonadota	1	5.576465886963663e-4
1011239	Sutterellaceae	Pseudomonadota	6	0.04781516602189058
1011239	Tannerellaceae	Bacteroidota	6	0.07584154044172882
1011239	Veillonellaceae	Bacillota	1	0.1082459557782296
1011242	Acetobacteraceae	Pseudomonadota	6	0.014993147249913024
1011242	Acidaminococcaceae	Bacillota	1	0.008619007092423575
1011242	Acidaminococcaceae	Bacillota	6	0.006479200193264203
1011242	Atopobiaceae	Actinomycetota	1	0.0021678575447235068
1011242	Bacteroidaceae	Bacteroidota	6	0.21594392694124842
1011242	Barnesiellaceae	Bacteroidota	6	0.008034271445405097
1011242	Bifidobacteriaceae	Actinomycetota	1	0.1392739106063744
1011242	Christensenellaceae	Bacillota	1	0
1011242	Clostridiaceae	Bacillota	1	0.09704846825850065
1011242	Coriobacteriaceae	Actinomycetota	1	0.01638230874963777
1011242	Coriobacteriaceae	Actinomycetota	1	0.0022448252900833087
1011242	Desulfovibrionaceae	Pseudomonadota	1	0.003948513230111692
1011242	Eggerthellaceae	Actinomycetota	1	0.006442050840520759
1011242	Erysipelotrichaceae	Bacillota	1	0.01590788743833445
1011242	Eubacteriaceae	Bacillota	1	0.05363364927961831
1011242	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	8.587283376924303e-4
1011242	Fusobacteriaceae	Fusobacteriota	6	0.002561536267686466
1011242	Hydrogenophilaceae	Pseudomonadota	6	0.012711619511393404
1011242	Lachnospiraceae	Bacillota	1	0.11697841477385716
1011242	Lachnospiraceae	Bacillota	6	0.003026270974938098
1011242	Lactobacillaceae	Bacillota	1	0.004309737004760695
1011242	Methanobacteriaceae	Euryarchaeota	1	0.006806807422248507
1011242	Moraxellaceae	Pseudomonadota	1	0.0011088504405373976
1011242	Mycoplasmataceae	Mycoplasmatota	1	0.001620269883364424
1011242	Odoribacteraceae	Bacteroidota	6	0.005608137102673294
1011242	Oscillospiraceae	Bacillota	1	0.010842324298187066
1011242	Oscillospiraceae	Bacillota	6	0.004498901597641311
1011242	Peptostreptococcaceae	Bacillota	1	0.0018993339860151075
1011242	Prevotellaceae	Bacteroidota	1	0.0012406830717577315
1011242	Prevotellaceae	Bacteroidota	6	0.38872022404290596
1011242	Rhodospirillaceae	Pseudomonadota	6	0.04197844550443138
1011242	Rikenellaceae	Bacteroidota	6	0.1579384068369466
1011242	Selenomonadaceae	Bacillota	1	0.0032297910477117452
1011242	Spirochaetaceae	Spirochaetota	6	0.0012905442737431404
1011242	Streptococcaceae	Bacillota	1	0.022706906817254385
1011242	Succinivibrionaceae	Pseudomonadota	1	0.0027833463875007983
1011242	Sutterellaceae	Pseudomonadota	1	1.9599967227155226e-4
1011242	Sutterellaceae	Pseudomonadota	6	0.045681381327199726
1011242	Tannerellaceae	Bacteroidota	6	0.030395553008231976
1011242	Veillonellaceae	Bacillota	1	0.02204335083001457
1011244	Acetobacteraceae	Pseudomonadota	6	0.039557189821998594
1011244	Acidaminococcaceae	Bacillota	1	0.009238867325203818
1011244	Acidaminococcaceae	Bacillota	6	0.013304385651125192
1011244	Atopobiaceae	Actinomycetota	1	0.0017538741601191162
1011244	Bacteroidaceae	Bacteroidota	6	0.19985942119798672
1011244	Barnesiellaceae	Bacteroidota	6	0.006596235153001041
1011244	Bifidobacteriaceae	Actinomycetota	1	0.08814266547843741
1011244	Christensenellaceae	Bacillota	1	2.2365130349784454e-4
1011244	Clostridiaceae	Bacillota	1	0.11448696238143469
1011244	Coriobacteriaceae	Actinomycetota	1	0.0094869016985294
1011244	Coriobacteriaceae	Actinomycetota	1	0.0015305868808156574
1011244	Desulfovibrionaceae	Pseudomonadota	1	0.006661529872498314
1011244	Eggerthellaceae	Actinomycetota	1	0.00342005081276316
1011244	Erysipelotrichaceae	Bacillota	1	0.009619228041858024
1011244	Eubacteriaceae	Bacillota	1	0.060513792767357105
1011244	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	7.244521718325368e-4
1011244	Fusobacteriaceae	Fusobacteriota	6	0
1011244	Hydrogenophilaceae	Pseudomonadota	6	0.11630680170056348
1011244	Lachnospiraceae	Bacillota	1	0.05634468588663528
1011244	Lachnospiraceae	Bacillota	6	0.00239802628391375
1011244	Lactobacillaceae	Bacillota	1	0.0014689811544966814
1011244	Methanobacteriaceae	Euryarchaeota	1	0.04340137989916491
1011244	Moraxellaceae	Pseudomonadota	1	6.324083928400437e-4
1011244	Mycoplasmataceae	Mycoplasmatota	1	0.00439808201782773
1011244	Odoribacteraceae	Bacteroidota	6	0.015470453858669722
1011244	Oscillospiraceae	Bacillota	1	0.007642483695510797
1011244	Oscillospiraceae	Bacillota	6	0.0016366820612277397
